Account_ID,Customer_ID,Account_Type,Balance,Account_Status,Branch_ID
500000058,1038,Salary,610475,Active,105
500000059,1038,Savings,50079,Inactive,104
500000060,1039,Current,767255,Active,104
500000061,1039,Savings,560090,Active,104
500000062,1040,Savings,540820,Inactive,105
500000063,1040,Salary,544048,Inactive,102
500000064,1041,Salary,757320,Inactive,101
500000065,1041,Salary,943925,Inactive,104
500000066,1042,Current,257778,Active,104
500000067,1042,Savings,674158,Inactive,104
500000068,1043,Savings,164693,Active,103
500000069,1043,Salary,382286,Inactive,104
500000070,1044,Salary,629866,Active,101
500000071,1044,Current,777138,Active,101
500000072,1045,Current,485677,Active,102
500000073,1045,Current,785489,Active,101
500000074,1046,Salary,753294,Active,104
500000075,1046,Salary,915107,Active,102
500000076,1047,Current,984226,Inactive,105
500000077,1047,Savings,567965,Active,105
500000078,1048,Current,326819,Active,104
500000079,1048,Current,247858,Inactive,104
500000080,1049,Salary,770005,Inactive,103
500000081,1050,Salary,487406,Active,105
500000082,1050,Salary,39082,Active,103
500000083,1051,Salary,199319,Inactive,101
500000084,1052,Current,278600,Active,103
500000085,1053,Savings,846674,Active,103
500000086,1054,Current,994521,Active,101
500000087,1054,Current,230956,Inactive,101
500000088,1055,Current,768301,Inactive,103
500000089,1055,Salary,836542,Active,104
500000090,1056,Current,698990,Inactive,105
500000091,1057,Salary,856551,Inactive,105
500000092,1058,Savings,535931,Inactive,105
500000093,1058,Savings,688187,Inactive,102
500000094,1059,Savings,400475,Inactive,103
500000095,1059,Current,163508,Active,103
500000096,1060,Salary,689589,Inactive,102
500000097,1061,Savings,446513,Inactive,102
500000098,1061,Salary,296352,Inactive,103
500000099,1062,Salary,317568,Inactive,101
500000100,1063,Savings,930854,Inactive,102
500000101,1063,Salary,981546,Active,104
500000102,1064,Salary,900183,Inactive,104
500000103,1064,Salary,192242,Inactive,105
500000104,1065,Current,491333,Inactive,105
500000105,1066,Salary,157996,Inactive,104
500000106,1066,Savings,856541,Inactive,102
500000107,1067,Savings,926036,Active,105
500000108,1067,Current,449453,Active,105
500000109,1068,Savings,317272,Inactive,104
500000110,1068,Savings,213431,Inactive,104
500000111,1069,Savings,82956,Active,103
500000112,1070,Savings,824074,Inactive,104
500000113,1071,Salary,375399,Active,103
500000114,1072,Current,471029,Active,101
500000115,1073,Savings,457917,Active,105
500000116,1074,Current,795801,Inactive,102
500000117,1075,Savings,103056,Inactive,103
500000118,1075,Salary,763763,Active,102
500000119,1076,Savings,599290,Active,104
500000120,1076,Salary,562651,Active,104
500000121,1077,Current,436504,Inactive,103
500000122,1078,Current,321566,Active,102
500000123,1079,Salary,932498,Inactive,103
500000124,1079,Current,458178,Inactive,105
500000125,1080,Salary,352702,Inactive,105
500000126,1081,Current,922735,Active,102
500000127,1081,Current,246737,Active,101
500000128,1082,Current,990846,Active,105
500000129,1082,Salary,23695,Active,102
500000130,1083,Current,402234,Active,104
500000131,1083,Savings,17010,Active,102
500000132,1084,Salary,878265,Active,101
500000133,1084,Savings,622271,Active,102
500000134,1085,Salary,152760,Inactive,103
500000135,1085,Salary,826209,Active,103
500000136,1086,Salary,173953,Active,102
500000137,1086,Savings,758026,Active,101
500000138,1087,Current,232908,Active,104
500000139,1088,Savings,534357,Active,101
500000140,1088,Savings,256499,Inactive,103
500000141,1089,Savings,293306,Inactive,101
500000142,1089,Savings,771766,Active,104
500000143,1090,Salary,768772,Active,105
500000144,1091,Current,783191,Inactive,105
500000145,1091,Salary,627758,Active,105
500000146,1092,Current,12055,Active,104
500000147,1093,Savings,988703,Active,102
500000148,1093,Current,531328,Active,102
500000149,1094,Salary,585178,Active,102
500000150,1095,Salary,394042,Inactive,101
500000151,1096,Salary,793502,Active,105
500000152,1097,Salary,455430,Active,105
500000153,1098,Savings,731580,Active,104
500000154,1098,Savings,694468,Active,105
500000155,1099,Savings,846875,Inactive,104
500000156,1099,Savings,603683,Inactive,101
500000157,1100,Savings,704569,Inactive,105
